cmd,nl
cat dax-weekly.csv | awk '{a[i++]=$0} END {for (j=i-1; j>=0;) print a[j--] }',display all lines contained in 'dax-weekly.csv' in reverse order.
"find / -name ""*.core"" -print -exec rm {} \;",find all .core files on the system starting from / and delete them
find -mmin -60,find all the files that have been modified in the last 60 minutes
diff -u file1 file2 > file3,"write differences between files ""file1"" and ""file2"" to ""file3""."
mount -t linprocfs none /proc,"mount the ""linprocfs"" filesystem on ""/proc"""
"ipcs | nawk -v u=`whoami` '/Shared/,/^$/{ if($6==0&&$3==u) print ""ipcrm shm"",$2,"";""}/Semaphore/,/^$/{ if($3==u) print ""ipcrm sem"",$2,"";""}' | /bin/sh",delete all shared memory and semaphores for the current user on sun
"set | grep "" ()""","list all functions or variables containing "" ()"" defined in the shell"
find -maxdepth 0,find files/directories under current directory without descending into it
"find . -name ""*$VERSION*""",find all *$version* files/directories under current directory where $version is a variable
find [whatever] | xargs cat,print content of all files found regarding seach options '[whatever]'
find $1 -type f -name '*'$n'.txt',display all the text files in a folder
"find . -name ""*.txt"" -type f -daystart -mtime -4 -mtime +0|xargs -i cp {} /home/ozuma/tmp",find all the text files in the current directory which have been modified in the last 4 days and not today and copy them to another folder
rsync -avz --chmod=ug=rwx --chmod=o=rx -e ssh src dest,"archive ""src"" to ""dest"" via ssh with permissions set to 755"
file ~/myfile,"try to determine the type of contents in ""myfile"" located in user's home directory."
find /home/user/myusername/ -name myfile.txt -print,"find the file ""myfile.txt"" in the folder /home/user/myusername/"
"bind '""e"":self-insert'","insert ""e"" when it's pressed"
find /path/to/directory/* -maxdepth 0 -type d -printf '%f\n',print the names of the directories from the paths expanded by the glob pattern /path/to/directory/*
chown -R your_user_name.your_user_name 775 /home/el/svnworkspace,"recursively change the owner and group of ""/home/el/svnworkspace"" and ""775"" to ""your_user_name"""
find . -print -name SCCS -prune,print all files and directories in the `.' directory tree skipping sccs directories but printing out the sccs directory name
find [whatever] -exec cat {} +,print content of all files found regarding seach options '[whatever]'
find -printf '%p %T@\n' | sort > file1,display all the files in the current folder along with their timestamps and sort them and save them in the file1
find . -name “*.old” -exec rm {} \;,delete all files with '.old' extension under current directory tree
who | awk '{ print $1 }',print list of all user names who are logged in
find -mindepth 1 -maxdepth 1 -print0 | xargs -0 rm -rf,delete everything in the current directory
"echo ""a.txt b.txt c.txt d.txt z.txt"" | xargs touch",create 5 empty .txt files
find ~/ -atime +100 -exec rm -i {} \;,"search for files in the current user's home directory and below for files that have not been accessed for more than 100 days and ask the user for permission to delete each file, one by one."
find /usr ! -newer /FirstFile -print,find files under /usr that are the same age or older than file `firstfile'
"find ""$DIR"" -name \*.txt",search directory tree $dir for *.txt files
comm -2 -3 <(sort -n B.txt) <(sort -n B.txt),print nothing because b.txt is compared with itself.
find /home/nobody/public_html -type f -exec chmod 644 {} \;,change the permissions of all the regular/normal files to 644 in the folder /home/nobody/public_html
"history -s 'echo whatever you ""want your"" command to be'","save 'echo whatever you ""want your"" command to be' in history"
command | more,"run 'command', pausing and waiting for user interaction after each page of output."
history | tail -1 | awk '{print $1}',print the last command in history
rev domains.txt | cut -d '.' -f 2- | rev,print content of 'domains.txt' with removed first one of dot-delimited fields
find var/log/ -iname anaconda.* -exec tar -cvf file.tar {} \;,search for files/directories with the case insensitive pattern anaconda.* in var/log directory and create an archive (file.tar) of the last file found
find /TBD/* -mtime +1 -exec rm -rf {} \;,delete all files in the /tbd directory that were modified more than 1 day ago
"find /home/folder1/*.txt -type f -exec ln -s {} ""folder1_"" +\;",create symlinks to all  /home/folder1/*.txt files and 'folder1_' directory with the same name in a target directory named '+'
find . -atime +30 -exec ls \; | wc -l,count files accessed more than a month ago
find . \( -name '*.mp3' -o -name '*.jpg' \) -print,find all the files ending with .mp3 or .jpg
md5sum $(which cc),"calculate the md5sum of the executable file of command ""cc"""
rm -v *.bak,"removes all files like '*.bak' in a current folder, and prints messages about what is being done."
find project -maxdepth 1 -mindepth 1 -regextype posix-egrep ! -iregex  $PATTERN  ! -empty -type d,find all directories under 'project' directory without going into subdirectories that do not match the posix egrep regex $pattern in their paths and are not empty
diff /tmp/test1  /tmp/test2,display differences between /tmp/test1 and /tmp/test2.
find . -type f -iname '*.jpg' -print0 | xargs -r0 du -a| awk '{sum+=$1} END {print sum}',find the total size of *.jpg files within the current directory tree
cat `find [whatever]`,"print the file content of command ""[whatever]"""
"find /home/you -iname ""*.pdf"" -atime -60 -type -f","search for all pdf files in the folder ""/home/pdf"" which have been accessed in the last 60*24 hours"
find -gid 1000 -exec chown -h :username {} \;,"set the group to ""username"" for all files with gid=1000 in the current directory tree"
split --suffix-length=5 --lines=1 foo.txt,"split ""foo.txt"" into files with 1 line each and use a suffix length of 5"
find . -type f -daystart -mtime 1,find all the files that have been modified exactly yesterday (from 00:00 to 23:59 yesterday)
./a.out |& tee output,"write standard output and error of ""./a.out"" to standard output and to file ""output"""
gzip --help | less,view gzip's help documentation
ps -ef | grep apache,get the path of running apache
ps aux | grep -ie amarok | awk '{print $2}' | xargs kill -9,immediately terminate all processes whose command or arguments contain 'amarok'.
find /var/ -size +10M -ls,display a long listing of all files/directories that are bigger than 10mb under '/var/' directory tree
find . -type d -print -exec bash -c 'find {} -type f -depth 1 -perm +0111 | sort -r' \;,list every directory under current directory with their child executable files
mkdir -p path2/{a..z},create intermediate directoriy path2 as required and directories a..z
diff <(find . -exec readlink -f {} \; | sed 's/\(.*\)\/.*$/\1/' | sort | uniq) <(find . -name main.cpp  -exec readlink -f {} \; | sed 's/\(.*\)\/.*$/\1/' | sort | uniq) | sed -n 's/< \(.*\)/\1/p',"find all directories that do not contain ""main.cpp"""
split -n l/10 file,"split ""file"" into 10 files of about equal size without splitting lines"
script2=`mktemp /tmp/.script.XXXXXX`;,creates temporary file with name formatted like '.script.xxxxxx' in '/tmp/' folder and saves path to it in 'script2' variable.
rsync -az --delete /mnt/data/ /media/WD_Disk_1/current_working_data/;,"archive directory ""/mnt/data"" to ""/media/wd_disk_1/current_working_data/"", deleting any extraneous files in destination, compress data during copy."
find katalogi -name wzorzec,"search the ""katalogi"" directory tree for files named ""wzorzec"""
mv -f file.txt /var/lib/docker/aufs/mnt/$CONTAINER_ID/rootfs/root/file.txt,"move ""file.txt"" to docker container ""$countainer_id"" in path ""/var/lib/docker/aufs/mnt/$container_id/rootfs/root/file.txt"""
"find . -name ""*.java"" -exec grep ""String"" {} \;",find all *.java files under current directory containing the string 'string'
find -name '*.patch' -print0 | xargs -0 -I {} cp {} patches/,copy all .patch files from the current directory tree to patches/
mount /tmp/loop.img /mnt/image -o loop,"mount ""/tmp/loop.img"" on ""/mnt/image"" as a loop back device"
find .cache/chromium/Default/Cache/ -mindepth 1 -size +100M -delete,find all files/directories under directory '.cache/chromium/default/cache/' which are bigger than 100mb and which are atleast 1 level deep and delete them
ln --symbolic --interactive $SCRIPT_DIR/$FILE,"interactively create a symbolic link in the current directory for ""$script_dir/$file"""
find . -size 126M,find all the files in the current directory whose size is equal to exactly 126mb.
find . -type f -exec ls -s {} \; | sort -n -r | head -10,sort based on size and display top ten largest normal/regular files in the current folder
find ~/Documents -type f -print0 | xargs -0 grep -il birthday,search for 'birthday' (case insensitive) in all regular files under ~/documents directory tree and show only the filenames
"find /home ! -name ""*.txt""",display all the files in the home folder except text files
"find . -type f -iname ""*.php""  -exec file ""{}"" + | grep CRLF","list path/filename of all php files under current directory whose file type description or path/name contains ""crlf"""
find -L. -type l,print a list of symbolic links reachable from the current directory that do not resolve to accessible files
find -print0 | grep -vEzZ '(\.git|\.gitignore/)',find all files/directories excluding paths that match '.git' or '.gitignore'
"find . -type f -exec grep ""magic"" {} \; -ls",search for the string 'magic' in all regular files under current directory tree and display long listing of them
find -newer ordinary_file,find all files that were modified later than ordinary_file in the current directory and its sub-directories.
find . -name foo -type d -prune -o -name foo -print,find all files named 'foo' under current directory tree without descending into directories named 'foo'
who | grep -v localhost | wc -l,count the number of non localhost users
find / -newer /tmp/checkpoint,find all files in the file system which are modified after the file /tmp/checkpoint
"find . -type f -size +50000k -exec ls -lh {} \; | awk '{ print $9 "": "" $5 }'",display the name and size of all the regular/normal files  in the current folder which are bigger than 50mb
"find . -name ""*.txt"" | xargs -o vim",find all .txt files in the current directory tree on a bsd system and edit them with `vim'
"find ./ -name ""*"" | xargs grep ""searchName""",find all files in current directory and search for 'searchname' in those files
"find . -name ""*.php"" | xargs grep -v -c '^$' | awk 'BEGIN {FS="":""} { $cnt = $cnt + $2} END {print $cnt}'",count all the lines of code in all php files in current directory recursively
find . -type f ! -size 0,list all non-empty files under under current directory
"TMP_FILE=""$(mktemp -t)""",creates temporary file name and saves path to it in 'tmp_file' variable.
read -p 'BGG enter something:' -r data,"read a line from standard input into variable ""date"" with prompt ""bgc enter something"", and storing typed backslash as backslash symbol"
"find . -not -name ""*.pl"" -not -name ""*.sh"" -not -name ""*.py""",display all the files in the current folder expect perl shell and python fiels
myVar=$(tee),"save standard input to variable ""myvar"""
find . -maxdepth 1 -type d -empty -exec rm {} \;,delete all the empty in the current folder do not search in sub directories
find /  -perm /u=s,find all suid files .
join -v 2 index <(nl strings),"print the lines of file ""strings"" not specified in file ""index"""
echo $string | cut -d';' -f1,print first field from semicolon-seprated line $string.
"find ""$sourcedir"" -type f -name ""*.type"" -exec sh -c 'for f; do cp ""$f"" ""$0""; done' ""$targetdir"" {} +","copy all the files with the extension "".type"" from one folder to a target directory"
find /dev -group audio,find all files/directories that belong to the group 'audio' under '/dev' directory tree
var=`egrep -o '\[.*\]' FILENAME | tr -d ][`,save all entries that are wrapped around with opening and closing square brackets in file 'filename' to variable 'var'
egrep -v '^\s*#' /etc/launchd.conf | launchctl,filters out all comment lines(lines beginning with a '#') from /etc/launchd.conf and pipes the output to launchctl.
"find /home/john/scripts -type f -not -name ""*.ksh"" -print",find all regular files under '/home/john/scripts' directory tree excluding files with '.ksh' extension
find .cache/chromium/Default/Cache/ -type d -print0 | du -h | grep '[0-9]\{3\}M' | cut -f2 | grep -v '^.$',find all directories under '.cache/chromium/default/cache' that are bigger than 100 mb in size excluding single letter directory names
find /var/www/* -type d -print | tar -zcpvf {}.tar.gz -C /var/www/ --files-from - {} \;,archive a file named '{}' (literal) residing in current directory  into  '{}.tar.gz' and save it inside /var/www/
"find /home/me/""$d"" -type d","find all directories under /home/me/""$d"""
"find . -type d | sed -e 's/^\.\///g' -e 's/^\./avoid/g' | grep -v avoid | awk '{print $1""\t""$1}' | xargs chgrp",recursively changes group ownership of every folder in a current directory to the name of that folder.
"find . -type f -name ""*.tmp""  -exec rm -rf {} \;",find all files & dircetiry in current directory which  have .tmp extension and delete them .
pstree,prints hierarchical process tree.
rsync symdir/ symdir_output/ -a --copy-links -v,"archive directory ""symdir"" to ""symdir_output"" preserving symbolic links."
"ping -c 2 -n 127.0.0.1 | awk -F'[ =]' -v OFS='\t' 'NR>1 { print $6, $10 }'","print the icmp sequence number and ping time of each request to ""127.0.0.1"""
find . -name '*.php' -print0 | xargs -0 wc -l,"prints lines count of each *.php file in a current folder and subfolders, and prints total count."
find ./ -type d -size 0c -print | xargs rmdir,remove all empty directories under the current directory and below
sort <(sort -u file1.txt) file2.txt file2.txt | uniq -u,"print lines in ""file1.txt"" that do not exist in ""file2.txt"""
find . -type d -name aa,search for the directory with the name aa in the current folder
"find ./ -name ""*.dat"" -type f -cmin +60 -exec basename {} \;",display the names without extensions of all the data files in current folder which have not been changed in the last 60 mins
"find -newermt ""mar 03, 2010"" -ls","list all files in the current directory tree that were last modified on the 3rd of march, 2010 or later"
find arch/x86/usr/sbin arch/x86/usr/X11R6/bin usr/sbin/ -type f | xargs chmod a+x,"set the executable bit for all users on all regular files from directories arch/x86/usr/sbin, arch/x86/usr/x11r6/bin, usr/sbin/"
find / -newerct '1 minute ago' -print | xargs rm,remove all files on the system that have been changed within the last minute
find ~/Library -name '* *' -exec ls {} \;,list all files/directories with spaces in their names under ~/library directory
ls /empty_dir/ | xargs -n10 chown root,"change the owner of all files in ""/empty_dir/"" to ""root"" using at most 10 files at a time"
find . -mmin -60 | xargs -r ls -l,list all files from the current directory tree that were modified less than 60 minutes ago
ssh -L localhost:8000:clusternode:22 user@bridge,forward port 8000 bound on localhost to port 22 in 'clusternode' via 'user@bridge'
"find /home/vmail/ -type d -path ""*/*/Maildir/.LearnAsSpam/new"" -exec sh -c '(cd {} && mv ./* ../../.Junk/new)' ';'","find directories in /home/vmail that match pathname ""*/*/maildir/.learnasspam/new"", and move them to folder .junk/new"
"grep -iH foo `find . -name ""*.js""`",search for the word foo in all the js files in the current folder
"lshw -class cpu|grep ""^       width""|uniq|awk '{print $2}'",determine if the kernel is 32 bit or 64 bit
find /apps/ -user root -type f -amin -2 -name *.rb,find all .rb files owned by root in the /apps/ folder and below that have been accessed in the last two minutes.
rm junk1 junk2 junk3,"removes files 'junk1', 'junk2', 'junk3'."
find -type f -printf '.' | wc -c,find all regular files in the current directory tree and count them
"`which parallel` ""$@""","execute the first instance of ""parallel"" found in the path, passing it all parameters received by the script/function"
dig -t SRV _kerberos._udp.foo.com,query srv records for domain '_kerberos._udp.foo.com'
"DIR=$(dirname ""$(readlink -f \""$0\"")"")","save the absolute path of the directory of the current script to variable ""dir"""
find . type -f -atime +2,search the current directory recursively for regular files last accessed more than 2 days ago
find . -type f -print0|xargs -0 ls -drt|tail -n 1,find recursively the latest modified file in the current directory
find . \( -name '*.txt'  -mtime +5 -o -name '*.html' \) -print0,"list txt files older than 5 days or html files of any age, null separated"
cat backup.img.gz | gunzip | dd of=/dev/sdb,"unzip and write ""backup.img.gz"" to ""/dev/sdb"""
sudo su - jenkins,get the jenkins user access
"mount | awk '/\/dev\/sd/ {print NR, $1, $3}'","print list of disk and mountpoint of disks matching ""/dev/sd*"""
find -d MyApp.app -name Headers -type d -exec rm -rf {} +,search directory tree `myapp.app' for directories whose name is 'headers' and delete them in an optimized way
date -u '+%Y-%m-%dT%k:%M:%S%z',show the current utc date in '%y-%m-%dt%k:%m:%s%z' format
bind -l | grep /,"list names of bind functions containing ""/"""
wc -l /dir/file.txt,counts lines of /dir/file.txt file.
cat list_part* | sort --unique | wc -l,print count of unique lines in all files like 'list_part*'
"find . — name ""*.LOG"" — mtime +5 -ok rm {} \;",delete all the log files which have not been modified in the last 5 days after user confirmation
find -name TEST_3,find files/directories named 'test_3' under current directory tree
cat /boot/System.map-`uname -r` | grep funcname,display all lines contiaining 'funcname' in system map file matching current kernel.
"diff -q ""$file"" ""${file/${dir1}/${dir2}}""","print whether ""$file"" and ""${file/${dir1}/${dir2}}"" differ"
find /path/to/the/folder -depth -type d -print0 | xargs -0 rmdir,removes all empty folders under '/path/to/the/folder' path.
du -h --max-depth=1 . | sort -n -r,prints sizes of all top-level folders in a current folder with human-readable format and descending order.
"find . -xdev -name ""wagoneer*"" -print","find all the files in the current directory with the name ""wagoneer"" which are in the current device."
"find -name ""text""",find all files/directories named 'text' under current directory
paste -d':' *.txt | sed 's/ [^:]*$//;s/ [^:]*:*/ /g;s/://g',print first column of every line in every *.txt separated by a space
"alias clean='rm -rf ""#""* "".""*~ *~ *.bak *.dvi *.aux *.log'","set alias ""clean"" for command 'rm -rf ""#""* "".""*~ *~ *.bak *.dvi *.aux *.log'"
find /abs/path/to/directory -maxdepth 1 -name '.*invalidTemplateName.*',find all files/directories under '/abs/path/to/directory' directory non-recursively that match the pattern '.*invalidtemplatename.*' in their names
rmdir ed*,removes any empty folder that matches pattern ed*.
rsync -Prt --size-only original_dir copy_dir,"recursively copy ""original_dir"" to ""copy_dir"" preserving file/dir timestamps, displaying progress, and skipping files which match in size, keeps partially transferred files."
find -type f -user www,"search the current directory tree for regular files owned by user ""www"""
tmp_file=`mktemp --tmpdir=/tmp emacs-manager.XXXXXX`,creates temporary file with name formatted like 'emacs-manager.xxxxxx' in '/tmp/' folder and saves path to it in 'tmp_file' variable.
find /usr/share -name '*farm*',find all files/directories containing 'farm' in their names under '/usr/share' directory tree
diff -q <(sort set1) <(sort set2),"print whether the sorted contents of ""set1"" and ""set2"" differ"
find / -name drush,find all files on the system whose names are 'drush'
find . -name '*.php' -exec chmod 755 {} \; > logfile.txt,update the permission of all the php files in current directory and save the output to a file
who | sed -e '/orschiro/! d; /pts/! d; s/^.*\(:[0-9.]\+\).*$/\1/p;d' | head -n1,"print display of ""orschiro"" user"
basename /usr/local/svn/repos/example,"display the last slash-separated part of path, in this case ""example""."
find ~/ -newer alldata.tar 	-exec tar uvf alldata.tar {} \;,search the current user's home directory and its sub-directories for any files accessed after alldata.tar was last accessed and add them to that same tar archive.
file /mnt/c/BOOT.INI,"show human-readable file type description of file ""/mnt/c/boot.ini"""
"find ./ -name doc.txt -printf ""found\n""","find all `doc.txt' files in the current directory tree printing ""found"" for each of them"
cd -P ..,"change to parent directory and resolve any symlinks in the resulting path, making the physical path the current one."
"sed -i ""s/\\\\\n//g"" filename",a no-op on filename with sed
split -l5000000 randn20M.csv '_tmp';,"split ""randn20m.csv"" into files of at most 5000000 lines each with prefix ""_tmp"""
find . -type l -exec test ! -e {} \; -printf '%Y %p\n',list all broken symlinks including cyclic links under current directory
"b=`echo ""$a"" | sed 's/./\U&/g'`","convert all characters in ""$a"" to upper case and save to variable ""b"""
"mount -o rw,remount /system","remount ""/system"" with read and write permission"
chmod +x file.sh,"make ""file.sh"" executable"
"find /home/nobody/public_html -type f -name .htaccess -exec replace ""php_admin_flag"" ""#php_admin_flag"" -- {} \;",replace the name php_admin_flag to #php_admin_flag in all the .htaccess files in the folder /home/nobody/public_html
find / -mmin -60,find all the files in file system which are modified in last 1 hour
"find . -name ""*_test.rb"" | xargs -s 1000000 rename s/_test/_spec/","recursively search for all files with names ending with ""_test.rb"", renaming them to end with ""_spec.rb"", using at most 1000000 characters per command."
find . -name '*.png' | perl match4th.pl '/tmp/search.txt' | xargs cp -t /tmp/results,find all the png files in current folder and pass them as input to the perl script and copy the result files to a folder
awk '!/^[[:space:]]*$/{++x} END{print x}' filename,counts lines in file filename ignoring empty lines and lines with spaces only.
find  /var -path */l??/samba*,list all samba files in /var/l* directory ( /var/lib or /var/log )
find $1 -type f | wc -l,get the number of regular files in the directory given as the bash script argument $1
"find . -name *.php -or -path ""./vendor"" -prune -or -path ""./app/cache"" -prune","exclude vendor and app/cache dir, and search name which suffixed with php"
{ find . -name '*my key phrase*'; grep -rl 'my key phrase' .; } | sort -u,"find all files/directories with 'my key phrase' in their names under current directory, search for 'my key phrase' in all files under current directory and print a sorted and unique list of output"
find /data/SpoolIn -name job.history | xargs grep -o -m 1 -h 'FAIL\|ABOR' | sort | uniq -c,"search for the file ""job.history"" in the folder /data/spoolln and search for multiple patterns in the file and display the count of matched lines along with the pattern"
find / -user seamstress -iname “*.pdf”,find all pdfs owned by user “seamstress”
"...| awk '{print $5""\t\t"" $3""\t""$4}'|column -t","format the 5th, 3rd, and 4th fields of ""..."" as a table"
ps aux | grep mysql | grep -v grep,find the process id of mysql
"find /usr/app/etl/01/OTH/log/tra -type f ! -name "".*"" -mtime -10 | egrep -vf /usr/app/etl/01/CLE/par/files_to_skip.par","find all the files in the folder ""/usr/app/etl/01/oth/log/tra"" which have been modified  in the last 240 hours  excluding hidden files and those with the name ""/usr/app/etl/01/cle/par/files_to_skip.par"""
"tac file | sed -n '0,/<tag>\(.*\)<\/tag>/s//\1/p'",prints the last occurrence of text between two tags
"find .  -type f -name ""CDC*"" -ctime -1 -exec sed -i'' -e '1d' -e '$d' '{}'  \ | wc -l",find all cdc* files under current directory that were accessed less than 1 day ago and delete the first and last lines from those files and count the number of lines in the output
find . ( -name a.out -o -name *.o ) -print,find a.out and object files in the current directory tree
find . -name vmware-*.log -delete,"remove all files with names like ""vmware-*.log"" from the current directory tree"
"find . -name text.txt | sed 's|.*/\(.*\)/.*|sed -i ""s@^@\1 @"" & |' | sh",append the parent directory name with a space in all 'text.txt' files in all sub directories of current directory
uname -m,"display machine architecture, ie. x86_64"
n_jobs=$( jobs -p | awk '{print NR}' ),print number of jobs
find . ... -exec cat {} \; -exec echo \;,using exec in find command to dispaly the searched files
find . -maxdepth 1 -name a\*.html,"search the current directory for html files whose names begin with ""a"""
find ${path} -P -type f,find all regular files under ${path} without following symlinks
"find -O3 ""$save_path"" -depth -mindepth 1 -name 'sess_*' -ignore_readdir_race -type f -cmin ""+$gc_maxlifetime"" -delete","delete all regular files that start with 'sess_' in their names, are at least 1 level deep and were modified more than $gc_maxlifetime minutes ago under $save_path directory tree"
"find ""somedir"" -type l -print0",find all the links in somedirectory and print them in a single line (to avoid the problem of files having newline in their names)
tmux -2,"starts new tmux session, assuming the terminal supports 256 colours."
find . -type f -print0 | xargs -0 perl -nle 'print if /^.*666$/',find all files under current directory that match the regex ^.*666$ in their names
find . -type f -exec wc -l {} +,display the number of lines in all regular files under current directory tree and also show the total count
find / -size 42,find all the files in the home folder which are less than 42 bytes
find ~ -user dave -print,find all files/directories that are owned by user 'dave' under current user's home directory tree
find . \( -size +700k -and -size -1000k \) -exec du -Hs {} \; 2>/dev/null,print the sizes and file names of all files in the current directory tree that are between 700k and 1000k
"find ""$directory"" -perm ""$permissions""",find all files in the directory $directory or below with the permissions specificed by $permissions.
"ls -d1 */ | tr -d ""/""",lists all subdirectories in the current directory with the trailing slash removed
mkdir new_dir,"make directory ""new_dir"""
"seq 10 | paste -sd"" \n"" -",print numbers from 1 to 10 with 2 values per line
find . -amin 10,find all files in current folder which have been accessed exactly 10 minutes ago
"find ""$some_directory"" -type f -name '.*' -delete",delete all hidden files under $some_directory
echo find . -atime +7 -o -size +`expr 10 \* 1024 \* 2` -print,find any files in the current directory and its sub-directories that were last accessed more than 7 days or are larger than 20480 blocks in size.
"find . -iname ""Articles.jpg"" -exec ls -l {} \;","display a long listing of all images with the name ""articles"" in the current folder"
"find . -regextype posix-egrep -regex ""./c(([4-6][0-9])|70)_data.txt""","find files in the current directory tree whose names are of the form ""cxx_data.txt"" where xx is a number from 40 to 70"
"find /var/spool/postfix/{deferred,active,maildrop,incoming}/ -type f","look for regular files in the directory trees 'deferred', 'active', 'maildrop', 'incoming' under /var/spool/postfix/"
"find ./ -name ""file_pattern_name""  -exec grep -r ""pattern"" {} \;","recursively finds all ""file_pattern_name"" files and folders and prints strings with ""pattern"", searching through found folders recursively."
"find /source_path -name \*.data  | while read -r filename; do printf ""print version: cp %s %s\n"" ""${filename}"" ""$(printf ""%s\n"" ""${filename}"" | sed ""s/^.*[/]\(category[^/]*\)[/]\(.*[.]data\)$/\/target_path\/\1_\2/"")""; done",print the cp commands that would be required to copy all *.data files under /source_path to /target_path by appending the parent directory names in the source paths to the beginning of each of the target file names
"find . -iname .svn -exec bash -c 'ls -l ""{}"" | wc -l' \;","find any files or directories called "".svn"" under the current directory and run a long list on each one, displaying a line count of the resultant output."
find $dir -maxdepth 1 -type d -user $username -perm -100,find directories under maximum 1 level down the directory $dir with 100 permission that are owned by the user $username
find . -type f -exec grep -il confirm {} \;,"print the list of all regular files from the current directory tree that contain ""confirm"", case insensitive"
"find -maxdepth 1 -type d | sort | while read -r dir; do n=$(find ""$dir"" | wc -l); let n--; if [ $n -eq 0 ]; then printf ""%4d : %s\n"" $n ""$dir""; fi; done",find list empty directories
pstree -aAp $(ps -ejH | awk -v v1=$mypid '$1==v1 {print $3}'),"prints process tree of a process having id $mypid, with command options and process id number."
find . -type f -print0 | tr -dc '\0' | wc -c,display the number of regular files under current directory tree
"find . | grep "".xml.bz2$""",find all *.xml.bz2 files under current directory
find / -nogroup staff -print,display all the files in the file system which belong to no group
find jcho -name 2*.data,find all 2*.data files/directories under jcho directory
"exec /usr/bin/find ""$@""","execute find with ""$@"" arguments"
find . -perm 0777 -type d -exec ls -l {} \;,display a long listing of all 0777 permission directories under current directory tree
find -name \*.txt,find all *.txt files/directories under current directory
"awk 'NR==16224, NR==16482' file","output lines 16224 to 16482 of 'file', not recommended with large files that contain many lines after the ones needed."
find /var/spool/mail -type f | cpio -pvdmB /home/username/mail,"copy all files in ""/var/spool/mail"" to ""/home/username/mail"" preserving the directory hierarchy and modification times"
"mkdir ~/Labs/lab4a/folder{1,2,3}","make 3 directories named ""~/labs/lab4a/folder"" followed by the number 1, 2, or 3"
find -name '*.undo' -exec wc -c {} + | tail -n 1 | cut -d' ' -f 1,search all undo files(ending with .undo) in the current folder and calculate the total size of them
find . -type f -exec file {} \; | awk -F: '{if ($2 ~/image/) print $1}',"find all files under current directory whose file type description contains ""image"", display only path to each file."
{ time sleep 1 2> sleep.stderr ; } 2> time.txt,"reports time consumed by command 'sleep 1' to the file time.txt together, and saves command error output to sleep.stderr."
"ssh someone@somehost ""cd /export/home/someone && find . -name '*' -print | parallel -j1 'sleep 10;curl -u someone:password ftp://somehost/tmp/ -vT'",find all files/directories under /export/home/someone directory in a remote host (somehost) and upload the files/directories to ftp://somehost/tmp/
alias foo=BAR=baz,"set alias ""foo"" for command ""bar=baz"""
find -nouser,find files that are orphaned
mkdir --parents ./es_MX.utf8/LC_MESSAGES,make directorie(s) 'es_mx.utf8/lc_messages' as needed in the current directory
find -daystart   -atime 0 -ls,display a long listing of all the files in the current folder that have been accessed in today from the start of the day
"find . -regex "".*\\.rb$""","find all files/directories matching the regex pattern "".*\\.rb$"" under current directory"
find . -newer document -print,find all the files in the current folder that are modified after the modification date of a file
ssh-keygen -b 2048 -t rsa -f key -C michael,"create a rsa key of 2048 bits with comment ""michael"" and store it in file ""key""."
ln -sf new_destination linkname,"forcibly create a symbolic link named ""linkname"" to file ""new_destination"""
find . -cmin +2 -cmin -6,display all the files in current folder which have been changed in the last 2-6 days
less -S file,"page through the contents of 'file', but excess from lines that don't fit within the screen/window width is cut."
find test -depth -empty -delete,"delete all empty files and directories in the ""test"" directory tree"
"find . -name ""*.andnav"" | rename ""s/\.andnav$/.tile/""",rename file extension '.andnav' to '.tile' for all files/directories under current directory tree
"find * -name ""*.java""",find all .java files starting from the current folder
"find . -type f -name ""*.mp3"" -exec rm -f {} \;",find and remove all .mp3 regular files under the current directory and below
"find /home/tecmint/Downloads/ -type f -printf ""%s %p\n"" | sort -rn | head -n 5",find and the 5 largest regular files in the downloads folder of tecmint's home directory and output the file sizes in bytes.
find -name '*.txt',find all *.txt files/directories under current directory
"find /old/WordPress/ -type f -regex "".*\.\(php\|css\|ini\|txt\)"" -exec rm {} \;","remove all regular files with extensions php, css, ini, txt from directory tree /old/wordpress/"
find -x / -name foo,find files/directories named 'foo' in the current partition of the root filesystem
find . -mmin -60 -mmin +5,find all directories in the current directory tree that were last modified more than 5 minutes ago but less than 60 minutes ago
find -L /home/peter -name *~ -print0 |xargs -0 -r -n1000 rm,"find all files whose names end with ""~"" in the /home/peter directory tree, following symlinks, and delete them"
"proc_load_average=$(w | head -1 | cut -d"" "" -f12 | cut -d"","" -f1-2 | tr ',' '.')",save the system load average for the past 1 minute of the currently logged in user to variable 'proc_load_average'
find . -follow -inum 41525360,search for all files with the same inode number 41525360
"find . -regex "".*\.\(flv\|mp4\)"" -type f -printf '%T+ %p\n' | sort | head -n 500",display top 500 mp4 and flv files under current directory along with their timestamps in the sorted order of time
"find . -type d -name ""*""",find all directories in the current directory
seq $1,"print numbers from 1 to the number in variable ""$1"""
"diff --new-line-format="""" --unchanged-line-format="""" <(sort file1) <(sort file2)",output all lines from file1 except those present in file2.
"find . -type f -print0 | xargs -0 grep -IZl . | xargs -0 grep ""needle text""","search the current directory recursively for files containing ""needle text"""
find -size +2M,find all files in the current directory which are bigger than 2mb
find / -type d -name httpdocs,find all directories by the name `httpdocs' on the system
find / -mtime +100 -print,find all the files in the file system which have not been modified in the last 100*24 hours
gzip -l $i,list file contents of compressed file $i
